stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0
72hpf,8.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.64,0.64,6.72,0.32,1.92,2.24,0,3.2,1.92,0.64,3.52,0.32,0.64,3.2,0.96,0.32,0.96,0,0,0,12.8,4.16,8
22Month,0.55,0,1.09,0,0,0.55,1.64,14.76,0,0,1.64,0,0,0,0.55,0,0,0,0,1.09,3.83,0,0
