stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,1.07
21Day,1.34,0,0,1.34,1.34,1.34,0,2.68,0,1.34,1.34,0
22Month,0.55,1.09,0.55,0,0,0,0.55,0,0,0,0,0
