stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,12.26,0,12.26,0,0
72hpf,0,0,1.07,0,0,0,0
21Day,4.02,0,1.34,0,0,0,0
3Month,1.28,0.64,0.96,0.32,0,1.28,3.52
