stage,Cardiomyocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0,0,4.28,7.49,7.49
21Day,1.34,1.34,1.34,1.34,0,29.45,58.9
