stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,6.42,2.14,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,1.34,2.68,1.34,0,2.68,0,0,0,1.34,0,2.68,13.39,1.34,0,1.34,2.68,0,0,2.68,0,2.68,5.35,0,0,1.34,0,0,0,1.34,0,0,0,2.68
3Month,0,1.6,1.92,24,0,2.56,0,21.12,3.84,0.64,16.64,3.2,0,696.21,1.28,6.08,3.84,6.4,1.92,0.32,1.28,1.28,1.6,0,0.32,2.24,0.32,5.44,0.32,6.4,0,0,1.92,4.48,16.64
22Month,0,0.55,29.52,16.95,0,2.73,0,26.24,4.37,0,41,0.55,0.55,1080.19,1.64,0.55,3.28,8.2,0.55,0,0,0,1.64,0,2.19,1.64,0,0.55,0,5.47,0,0.55,1.09,0,2.73
