stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,8.17,0,20.43,0,0,0,0
72hpf,0,1.07,0,0,0,0,3.21,6.42,5.35,2.14,0,1.07,0
21Day,4.02,12.05,1.34,0,0,0,5.35,5.35,1.34,0,0,0,0
3Month,0.32,0,0,0.32,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,3.28,1.09,0.55,0,0,0,0,1.64,0,0
