stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,4.28,0,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0
3Month,0.32,0,6.08,0.96,0,0.96,0,0,1.28,4.16,0,0.32,0.32,3.2,0,0.32,0,0.32,0,0.32,0.32,0.32
22Month,1.09,1.09,9.29,1.64,1.09,3.83,1.64,0.55,2.73,2.73,0.55,7.11,0.55,6.56,0,0.55,0.55,0,0,0,0,1.09
