stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.76,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,0,14.98,9.63,0,0,0,0,0,2.14,0,1.07,0,0,0
21Day,1.34,0,2.68,1.34,0,1.34,0,0,0,0,5.35,1.34,0,0,0,6.69,0,0,4.02,1.34,0,0,0,0,1.34,1.34,0,0,0,0,1.34
3Month,0.64,0,1.28,2.56,0.64,0.96,0.64,0,70.71,0,0.32,16.96,0.64,0.32,4.48,1.28,0.64,0.96,0.64,0,0,0.32,0.32,1.28,93.43,0,0,0,1.28,26.24,4.8
22Month,0,1.64,4.92,2.19,1.64,0.55,0,0.55,156.89,1.09,0.55,8.2,0,0.55,1.09,0,14.21,0,0,0,1.64,0.55,0,0,2.19,0,0.55,0,0,0,2.19
