stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09,4.09,0
21Day,1.34,1.34,0,1.34,1.34,4.02,1.34
22Month,0,0,1.09,0,0,0.55,0
