stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,61.3,20.43,0,126.68,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,61.3,118.51,147.11,0,0,0,40.86,306.48,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,12.84,5.35,0,37.44,2.14,1.07,0,1.07,0,1.07,0,0,0,0,4.28,0,21.4,62.05,5.35,51.35,0,2.14,3.21,190.42,62.05,2.14,47.07,1.07,1.07,10.7,3.21,3.21,1.07,0,0,0
21Day,24.09,2.68,1.34,113.78,0,12.05,0,17.4,0,1.34,0,0,0,2.68,45.51,21.42,6.69,50.86,13.39,92.36,0,0,5.35,69.6,48.19,4.02,44.17,12.05,0,6.69,4.02,9.37,1.34,0,0,26.77
3Month,0,1.92,0.64,8.96,0,0,0.64,0,3.52,2.88,0,0,9.6,5.76,1.6,8.64,0.32,8,5.44,4.16,0.64,0,0.64,0,0,0.96,0,0,2.24,0,0,0,0,1.6,0.64,3.2
22Month,0,2.19,0,3.83,0,0,0.55,0.55,1.64,9.29,0.55,0,48.65,2.73,6.01,13.12,0,1.09,9.29,6.01,0,0,0.55,0,0.55,0,0.55,0,1.09,0,0,0,0,0,0,2.19
