stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,182.93,6.42,0,1.07,0,2.14,2.14,1.07,3.21,0,0,0
21Day,0,0,1.34,1.34,0,1.34,0,0,0,0,0,2.68,0,0,1.34,0,1.34,0,56.22,2.68,0,0,1.34,0,4.02,13.39,13.39,0,0,2.68
3Month,0,0,4.8,0,0,0,0,0.96,0,6.4,0.64,0,1.92,0.64,0.96,1.6,1.92,0,1.28,0.32,0,0,0,8.32,0,0,0,0.32,74.23,0.96
22Month,0,2.73,2.73,0,1.64,0,0.55,4.37,1.64,40.45,2.19,0.55,8.75,0.55,3.28,2.73,4.37,2.19,0.55,0,0.55,1.09,0,4.92,0,0,0,0,0,1.64
