stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,1.07,0,0,0,0,0,0,0,2.14,0,1.07,2.14,0,0,0,0,4.28,10.7,0,0,0,5.35,0,0,0,0,0,0,0,0,0
21Day,6.69,0,0,42.83,1.34,10.71,0,0,0,1.34,1.34,0,0,1.34,0,4.02,24.09,0,28.11,0,0,10.71,0,0,9.37,0,0,0,24.09,4.02,0,0,5.35,1.34,1.34,0,0,0
3Month,0.32,0.64,0.64,15.36,0,0,0.32,0,0.32,5.12,0,95.66,3.2,0.32,3.2,0.64,11.84,0.96,6.72,0.32,0.32,0.64,0.32,0.64,0,0.32,0.64,0,0,0.64,0.32,2.88,0,0,0.64,0.64,4.48,0
22Month,0.55,2.73,1.09,13.67,0,0,1.09,0.55,1.09,3.83,1.64,130.1,6.56,0,1.09,1.09,5.47,1.09,13.12,1.64,6.01,1.64,0,0.55,0.55,0.55,1.64,0.55,0.55,0,0,0.55,0.55,0,0,0,0,1.64
