stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,8.17,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,1.07,0,0,0,0,0,0,0,0,0,2.14,5.35,0,7.49,0,0,0,0,11.77,8.56,0,1.07,0,8.56,0,1.07,0,1.07,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,1.34,2.68,1.34,0,9.37,0,6.69,0,0,0,0,5.35,0,1.34,0,0,0,0,0,0,0,0,0,1.34
3Month,0,1.92,0.96,22.4,0,0.32,0.32,6.4,6.4,0,22.4,8,0.96,11.52,3.2,7.36,8,13.76,3.2,0,1.28,2.88,6.08,0,5.44,0.32,0,0.32,1.6,9.28,0.32,0,2.24,12.8,4.16
22Month,1.09,4.37,2.73,15.31,0,1.64,0,3.83,15.85,10.93,173.84,7.11,1.09,20.77,2.19,4.37,7.65,19.13,0.55,5.47,1.64,0,3.83,0,9.84,1.09,14.76,2.19,0,4.92,1.64,0.55,0.55,0,3.83
