stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,4.09,4.09,40.86,0,0,8.17,249.27,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,1.07,0,0,0,0,0,0,1.07,0,2.14,0,0,116.61,42.79,1.07,2.14,8.56,0,1.07,0,0,0,0
21Day,1.34,0,2.68,5.35,0,0,1.34,0,0,0,1.34,0,18.74,0,2.68,70.94,8.03,0,2.68,6.69,0,4.02,2.68,0,0,6.69
3Month,0,0,0.32,0,0.32,0,1.92,0,0,0.64,0,0,0,0.32,0,0,0,0,0,0,1.28,0,0,0.32,5.12,0
22Month,0,0.55,2.73,0,0,1.09,9.84,0.55,1.09,1.09,0,1.09,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0,0
