stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,4.09,12.26,0,0,0
72hpf,0,0,0,0,0,1.07,1.07,8.56,0,0,0,0
21Day,1.34,1.34,0,0,0,0,0,2.68,1.34,2.68,0,1.34
3Month,0,0,0.96,0,0,0,0,0,0,0,0.64,0
22Month,0,0,0,1.09,0.55,0,0,0,0,0,0,0
