stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,2.14,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0
3Month,0.96,4.48,0.96,0,1.92,26.88,0,7.04,2.56,0,3.84,2.56,1.28,3.2,0.32,0.32,0.32,2.56,0.96,0,0,0.96,209.57,0.96,90.23,1.92
22Month,1.09,0.55,0,0,0,2.73,0.55,4.37,0,0.55,1.64,0.55,0,1.64,0,1.09,0,0,0,0,1.09,0,54.67,0,0.55,0
