stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,1.07,0,0,0,0,1.07,2.14,1.07,0,0,0,3.21,12.84,2.14,0,2.14,0,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,4.02,0,1.34,1.34,0,0,0,0,0
3Month,0.32,0,5.76,0.64,9.6,0.32,6.08,1.92,2.24,1.6,0.96,1.28,0,0.32,0,0.64,0.64,0,0.64,0,0.32,6.72,0.64,51.19,0.96
22Month,0,0.55,2.73,0,5.47,0,19.68,0.55,1.09,0,0,0,0.55,0,1.64,0.55,0,0.55,1.09,0,0,0.55,0,1.09,0.55
