stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,13.91,0,0,0,3.21,0,0,0,3.21,0,0,0,0,0,0,0,0
21Day,0,2.68,1.34,1.34,0,0,0,1.34,50.86,0,0,2.68,20.08,0,0,0,1.34,0,0,1.34,0,1.34,0,0,2.68
3Month,0,1.92,0,0.32,0.64,2.88,2.56,2.24,9.6,0.96,0.64,0.32,24,0.64,0,0.32,0,0,0,0,0,0,0.32,0.32,0.96
22Month,0.55,1.09,0,0.55,0.55,4.37,9.29,0.55,13.67,0.55,0,0,9.29,0.55,0.55,0.55,0,0.55,0.55,0,0.55,0,0,0,4.37
