stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,16.35,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,4.28,0,0,0,0,0,0,4.28,4.28,0,0,0,0,0,6.42,0,0,0,0
21Day,0,0,6.69,0,0,0,0,0,1.34,0,0,0,0,0,2.68,0,1.34,0,0,1.34,0,0,1.34,0,0,0,0,2.68,68.27,0,0,0,0
3Month,0.32,1.28,13.76,0,0.64,0.32,2.56,5.44,0,19.52,6.72,1.28,9.92,1.92,5.76,4.16,5.44,1.28,0,0.96,0.96,2.56,0.96,0.96,0.32,0,0.32,5.76,873.46,2.24,7.04,35.51,5.44
22Month,0,0,6.56,0,1.09,0.55,0.55,0.55,0,16.95,0,0.55,2.73,0,1.64,2.73,1.64,0.55,0.55,0.55,0,1.09,0.55,2.73,0,8.75,0,0,199.53,0.55,0,0,1.09
