stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,11.77,2.14,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0,1.07,7.49,0,1.07,0,0,0,207.54,13.91,4.28,0,13.91,0,0,2.14,0,0,2.14,0,0,0
21Day,26.77,1.34,0,53.54,0,4.02,0,1.34,0,0,0,0,0,4.02,0,0,4.02,1.34,29.45,0,0,0,105.74,6.69,1.34,2.68,30.79,2.68,2.68,1.34,0,2.68,1.34,0,0,0
3Month,0.32,8,3.52,48.63,0.64,0,0.64,0.32,0.96,2.56,0,8.64,1.6,0.32,0.96,2.24,31.99,0.96,28.48,3.52,1.6,0.32,4.8,0,1.28,1.6,6.4,0.96,14.08,0.64,0,0,0.64,1.6,4.48,2.88
22Month,0,22.96,8.2,15.85,0,0,0.55,0,3.28,3.28,1.09,32.8,1.64,0.55,3.28,0.55,10.93,2.19,47.56,1.09,0.55,0,3.28,1.09,3.83,4.37,9.84,0,4.37,3.28,3.28,0,1.09,0,0,2.19
