stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,16.35,0,0,0,0,0,0,0,0,0,0,20.43,4.09,0,0,0
72hpf,54.56,2.14,0,0,0,1.07,0,2.14,0,0,22.47,10.7,1.07,1.07,0,0
21Day,25.43,0,1.34,0,0,0,0,0,0,0,5.35,2.68,0,0,0,0
3Month,0,0.64,0,2.56,0.64,0,0.64,0.32,0,0,0,0,0,0,0.64,0.32
22Month,0,1.09,0,15.31,2.19,0,1.09,0.55,0.55,0.55,0.55,0,0,0,1.64,0.55
