stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,196.15,4.09,8.17,0,0,0,0,24.52,4.09,0,0,0,0,0
72hpf,2.14,0,14.98,1.07,0,0,0,0,0,0,0,0,0,1.07,113.4,0,1.07,2.14,0,0,4.28,1.07,5.35,0,0,1.07,0,0
21Day,0,0,62.91,0,2.68,0,0,0,0,0,0,1.34,0,1.34,78.97,1.34,9.37,0,1.34,0,4.02,2.68,1.34,1.34,0,0,0,1.34
3Month,0.32,0.32,16.64,0,0,0,0,0,0,2.88,0.64,0,1.92,0,1.6,0.64,2.24,0,0.32,0.64,0,0,0,0.96,0,0,0.32,0.32
22Month,0,1.09,9.29,0,0,0.55,0.55,0.55,1.64,39.91,0,0,6.01,0,0.55,1.09,0.55,1.09,0.55,0,1.09,0,0,1.64,1.09,0,0,0
