stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0
72hpf,1.07,1.07,2.14,0,0,0,1.07,16.05,0,1.07,6.42,0,12.84,0,2.14,0
21Day,0,1.34,4.02,0,0,0,0,45.51,1.34,2.68,1.34,0,14.72,0,2.68,1.34
3Month,0,0.64,0,0.64,0.96,0.32,0.32,8.32,0,0,0,0.32,0,0.64,0,0
22Month,0,0.55,0,0,0.55,0.55,0,2.19,0,0,0,0,0,0.55,0,0
