stage,Epithelial_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,4.09,4.09,12.26,0,0
72hpf,0,2.14,1.07,0,6.42,0,0
21Day,2.68,0,1.34,1.34,1.34,1.34,1.34
