stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hatching_gland,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,4.09,0,4.09,0,0,0,0,4.09,28.6,0,0,8.17,220.67,4.09,0
72hpf,1.07,1.07,3.21,0,0,0,0,1.07,5.35,0,5.35,1.07,0,13.91,23.54,2.14,1.07
21Day,2.68,0,1.34,1.34,0,2.68,1.34,0,0,0,24.09,0,1.34,5.35,14.72,8.03,0
