stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,20.43,0,0,0,0,0,4.09,0,0,4.09,4.09,4.09,28.6,4.09,0,183.89,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,1.07,2.14,0,1.07,1.07,1.07,0,0,0,0,0,0,2.14,2.14,0,4.28,0,18.19,6.42,0,1.07,0,0,6.42,0,0,1.07,0,0,0
21Day,4.02,0,1.34,14.72,2.68,1.34,2.68,0,0,0,2.68,1.34,0,6.69,2.68,18.74,0,10.71,5.35,0,2.68,2.68,0,5.35,1.34,1.34,1.34,0,0,0
3Month,0,0.96,0.32,5.44,0,0,0.32,0.64,0.32,0,6.08,3.84,1.92,2.56,0,3.2,1.28,1.92,0,0.96,0,0.32,8.96,0.32,0,0,0.32,0.64,11.52,0.64
22Month,0,0,0,0.55,0,0,0,0,0,0,3.83,1.09,0,0,0,0.55,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0
