stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell
21Day,0,0,0,0,0,0,1.34,0
3Month,0.32,0,0,0,0.32,0.32,0,0
22Month,2.19,1.09,3.28,0.55,0,0,0,0.55
