stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0.32,6.4,0,0.32,0.32,0.64,3.2,0.64,2.88,0.32,0.32,0.32,0.32,0,0.32,0.96,0.32,0.32
22Month,0.55,0,0.55,0.55,0,0,6.56,0,0.55,0,2.19,0.55,0.55,0,0,0.55,0,0,0.55
