stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,1.07,0,2.14,3.21,0,0,0,0,1.07,0,0,0,0
21Day,2.68,1.34,0,5.35,0,1.34,0,0,1.34,0,2.68,0,0,0,1.34,10.71,0,0,0,4.02,1.34,0,0,4.02,1.34,0,0,0,0,1.34
3Month,0,5.76,0.32,0,0.32,0.64,2.24,1.92,10.24,0.96,0.64,6.08,0.64,4.16,1.6,2.24,0.96,0,0.96,0.64,0,0.96,0.32,0,1.28,15.68,0.64,0.96,8.32,1.28
22Month,0.55,3.83,0,0,0,0,0.55,0.55,26.24,1.64,1.09,4.37,0,0.55,2.19,2.19,0,0,0,0,0.55,0,0.55,0,0,1.09,0,0,0,2.73
