stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,1.6,0.64,7.36,0,0,0.96,88.31,0.32,1.92,0.96,2.24,0.32,1.28,0,0,0.32,0.32,0,0,0,1.28,2.24,0.32,0.64,1.28,0.32
22Month,9.29,0,3.28,0.55,0.55,0,155.25,0.55,1.64,0,0.55,0,1.64,4.92,0.55,0,0,0.55,0.55,0.55,0,4.37,0,0,0,0
