stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,212.49,0,0,0,4.09,20.43,0,0,0,0,0,4.09,0,102.16,0,0,0,0,8.17,110.33,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,14.98,2.14,28.88,3.21,4135.81,0,67.4,0,1.07,0,0,0,1.07,0,3.21,26.74,2.14,20.33,0,1.07,2.14,1.07,102.7,44.93,1.07,0,18.19,0,0,6.42,12.84,1.07,0,0,0,0
21Day,29.45,2.68,81.65,2.68,7696.57,0,1910.09,2.68,4.02,0,18.74,8.03,20.08,10.71,10.71,38.82,25.43,72.28,0,0,18.74,1.34,100.39,48.19,1.34,2.68,28.11,120.47,0,4.02,17.4,84.33,0,1.34,0,18.74
3Month,0.32,1.6,6.72,0,0,112.94,48.31,1.92,1.92,0,5.44,1.92,1.92,1.6,0,2.56,3.2,4.16,0.96,0,8,4.8,0,0,0.64,0.96,0,0,8.32,0,0,0,0.32,0.96,1.92,0.64
22Month,0.55,3.28,1.64,0,0,74.89,22.41,0,4.37,0,21.87,3.28,0.55,1.64,0.55,0,3.83,3.83,0,2.73,11.48,0.55,2.73,1.09,1.64,0.55,1.64,0.55,4.37,0.55,0,0,0,0.55,0,1.64
