stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,10.7,5.35,0,0,0,0,0,0,0,12.84,0,6.42,0,0,14.98,0,0,2.14,0,0,2.14,0,0,0,0
21Day,0,0,2.68,5.35,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0,0,0,0
3Month,0.32,0,7.68,6.72,0,1.28,3.52,0,5.44,4.8,1.28,2.56,1.92,0.64,2.24,1.28,0.64,0.32,0.96,0,0,0.32,47.99,0,0.32,0.64,24.96,0.64
22Month,0,0.55,1.09,0.55,0,0.55,1.09,0.55,1.64,0,0,0,1.09,1.09,0.55,0,0,0,0,0,0,0,4.92,0,0,0,0,0
