stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,0,0
72hpf,0,5.35,0,5.35,0,0,0,0,0,0,0,0,0,0,0,38.51,2.14,0,5.35,0,3.21,0,1.07,9.63,6.42,0,0,22.47,1.07,0,0,52.42,0,0
21Day,2.68,0,1.34,17.4,2.68,0,1.34,0,0,0,0,12.05,0,1.34,1.34,0,4.02,0,44.17,0,0,1.34,0,6.69,4.02,0,0,28.11,6.69,0,1.34,38.82,0,1.34
3Month,0,2.24,2.56,17.28,0,1.28,0,0.96,7.68,3.84,0.32,83.83,2.56,0.32,23.04,0.96,4.16,4.48,46.07,12.48,0,1.6,0.96,0.96,0,0.64,0,0,1.92,0.64,0,0.96,2.56,1.92
22Month,0,2.19,2.73,8.2,0,0,0,0,4.92,1.64,1.09,162.36,1.64,0.55,34.44,0.55,0,1.09,26.24,1.09,2.19,0.55,0,1.09,0,0.55,1.09,0.55,0,1.09,0,0.55,0.55,0
