stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,1.07,56.7,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0
21Day,0,0,14.72,0,0,0,0,0,0,1.34,4.02,24.09,5.35,2.68,0,0,0,0,0,1.34,0,1.34,0,0,0
3Month,0.32,0.96,15.36,0,3.52,0.32,0,14.08,1.28,8,1.6,0.96,3.84,1.28,0.64,0,0.64,0.96,0.64,0,1.28,0,0.64,1.6,1.28
22Month,0.55,2.19,19.68,1.09,4.37,1.09,0.55,25.15,1.09,31.16,2.19,1.64,4.37,2.73,0,0.55,1.64,0,0.55,0,1.64,0,0,0,1.09
