stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,16.35,8.17,0,0,0,0,151.2,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,0,0,0,1.07,8.56,0,0,0,0,2.14,4.28,1.07,2.14,0,0,1.07,109.12,13.91,0,3.21,0,0,0,2.14,0,0,0,0,0
21Day,6.69,1.34,1.34,16.06,2.68,21.42,5.35,4.02,1.34,2.68,0,1.34,6.69,0,28.11,0,4.02,0,487.23,22.76,1.34,6.69,13.39,0,5.35,4.02,5.35,1.34,0,0,2.68
3Month,0.32,0.32,0,0.64,0,0,45.75,2.24,0.96,0.32,1.28,0.96,0.32,0.96,2.88,0,0,0,8.64,0,0.32,0,0.96,0,3.84,1.28,0,0.32,4.16,0.64,1.28
22Month,0,1.64,0.55,1.09,0,0,49.2,6.01,0.55,0,0.55,0,0.55,3.28,2.19,0.55,1.09,0,40.45,0,0,0.55,0.55,3.83,14.21,1.64,0,0,0.55,0,0
