stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,16.35,0,0,0,0,8.17,49.04,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,6.42,81.3,0,1.07,1.07,0,0,11.77,3.21,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,88.34,1.34,1.34,0,0,2.68,0,0,2.68,0,0,2.68,6.69,37.48,0,0,0,0,0,2.68,0,0,13.39,0,1.34,1.34,0,1.34,1.34,0,0,2.68
3Month,0,0.64,2.24,68.15,0.64,0,0.64,0.32,9.92,10.56,0,5.76,24,1.6,17.92,12.16,1.6,15.04,1.6,0.32,3.2,1.28,7.68,0,3.2,2.56,0,0,0.32,2.56,0,0,0.64,3.52,5.44
22Month,1.64,1.09,2.73,17.49,0,0,0,0.55,8.2,8.2,0,21.87,20.77,1.64,28.97,2.19,0.55,9.29,0.55,0,3.83,0,2.73,0,2.73,1.64,0.55,0,0.55,0,0,0,0,0,1.09
