stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,57.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,1.07,0,0,0,0,0,0,0,3.21,0,2.14,0,0,0,31.02,2.14,5.35,1.07,1.07,0,0,0,1.07,0,0
21Day,1.34,0,0,24.09,0,0,0,0,0,0,0,1.34,1.34,0,2.68,0,0,0,1.34,0,12.05,0,2.68,0,0,1.34,2.68,0,0,0,0
3Month,0.32,0.96,2.88,258.84,0,0,0.32,0.64,0.32,6.4,5.76,0,64.95,0.96,4.48,2.24,4.16,0,0.32,0.96,0.32,0,2.24,0,0,0.32,2.88,0,0,1.28,1.6
22Month,0,1.09,2.19,58.49,0,0.55,0.55,1.64,1.09,26.79,1.09,0,27.33,0,0.55,2.19,1.64,0.55,0,0,0.55,0,0,0,0,0.55,6.01,0.55,0,0,0
