stage,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,16.35,0,0
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0
21Day,0,0,0,2.68,0,0,1.34,0,1.34,0,0,0
3Month,0.32,0,0.32,0,0.32,0,0.32,0.32,0,0,0,0.32
22Month,0,1.09,2.19,0,0,0.55,0,0,0,0,0.55,0
