stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,4.09,4.09,8.17,8.17,69.47,0,0,0,0,0
72hpf,2.14,1.07,0,2.14,0,0,0,0,0,0,4.28,2.14,1.07,0,9.63,10.7,1.07,0,0,0,0
21Day,1.34,0,1.34,34.8,0,0,0,0,0,0,0,10.71,1.34,4.02,8.03,2.68,0,0,0,0,0
3Month,0,0,0,4.48,0.32,0,0,2.88,0.32,0.96,0,2.24,0.32,0,0,0,0,2.88,0.32,0.32,0.64
22Month,0,0.55,0,1.64,0,0.55,0.55,6.01,0,2.73,1.09,0,0,0,0,0,0,0.55,0,0,0
