stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,40.86,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,4.28,0,0,12.84,2.14,0,2.14,0,0,0,0,0,0
21Day,2.68,0,1.34,0,4.02,0,0,0,0,0,2.68,0,1.34,2.68,1.34,9.37,0,0,1.34,1.34,0,5.35,0,4.02,1.34,1.34,0,1.34
3Month,0,0.64,2.56,0,0,0,0,0.32,1.92,0.64,0,0.96,0.32,1.6,0.64,0.64,0,0.32,0.64,0,0.32,0,2.56,0,0,0,9.28,0.96
22Month,0,0,0.55,0,0,0.55,0.55,0,4.92,0,0,1.09,0,0,0.55,0,0.55,0,0,0,0,0,0.55,0.55,0,0,0,0
