stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,32.69,12.26,0,122.59,0,0,0,24.52,4.09,0,0,0,16.35,122.59,73.56,102.16,0,0,36.78,735.55,0,0,0,24.52,0,0,0,8.17,0,0,0
72hpf,2.14,2.14,0,21.4,1.07,0,0,0,0,0,1.07,0,4.28,115.54,5.35,6.42,1.07,0,12.84,17.12,1.07,1.07,0,18.19,0,4.28,1.07,0,0,0,0
21Day,1.34,1.34,0,32.12,1.34,0,0,0,1.34,0,0,4.02,2.68,28.11,4.02,5.35,0,0,4.02,5.35,1.34,0,0,0,1.34,2.68,0,0,0,0,0
3Month,0,0.32,0,3.52,0,0.32,0,0,1.28,0.64,0,0.64,0.32,0.32,0.32,0.32,0.32,0.32,0,0,0,0,0,0,31.99,0,0,0,0,8,0.32
22Month,0,0.55,1.09,2.73,0,1.09,16.4,0,16.4,0,0,16.95,1.09,0,0,0.55,0,0,0,0,1.09,0,1.09,0,4.37,1.09,0,0,0.55,0,0
