stage,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell
72hpf,1.07,0,2.14,22.47,1.07,0
21Day,0,0,0,21.42,0,0
3Month,0,0.32,0,1.28,0,0.32
22Month,0,2.73,0,0,0,0
