stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,1.07,10.7,8.56,0,0,4.28
21Day,0,0,1.34,0,0,0,0,1.34,0,0,0,10.71,0,1.34,0,1.34
3Month,0.32,0,0,0.32,0,1.6,0.64,0,0.32,0,0,1.28,0,0,0.64,0.32
22Month,0,0.55,0,0,2.19,1.09,0,0.55,1.09,0,0,0,0,0,0,0
