stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,28.6,0,0,0,0,0
72hpf,2.14,0,0,2.14,9.63,10.7,1.07,0,0,2.14,0
21Day,0,0,1.34,2.68,6.69,5.35,0,1.34,0,4.02,0
3Month,0.32,0.32,0,0.32,0,0,0,0,1.6,0,3.84
