stage,Epithelial_cell__Brain_,Erythrocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,3.21,0,0,8.56,0
21Day,0,1.34,0,0,1.34,9.37,0,1.34,5.35,0
3Month,0.32,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0.55,0.55,0,0,0,0,0,0
