stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,1.07,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72,0,0,0,0,0,0
3Month,0.64,0,0.32,0.32,0,2.56,0,0.32,1.92,1.92,0.96,1.28,0.96,1.28,0.32,0,0.32,2.88,0,0.32,0.64
22Month,0.55,0.55,0,0.55,0.55,20.77,0.55,0,1.64,0,0,0.55,1.64,0,0.55,0,0,3.83,0.55,0,0
