stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,4.09,4.09,0,0,4.09,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,1.07,2.14,1.07,0
21Day,0,2.68,1.34,0,0,0,1.34,0,5.35,0,1.34
22Month,0,0,0,0.55,0,0,0,0,0,0,1.09
