stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.01,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,2.14,1.07,1.07,0,0,0,0,0,0,0,0,2.14,5.35,0,3.21,0,0,1.07,0,28.88,150.84,0,0,0,1.07,0,0,4.28,6.42,4.28,0,0,0
21Day,1.34,1.34,0,5.35,0,2.68,0,0,1.34,0,1.34,0,4.02,0,0,8.03,4.02,5.35,0,0,0,0,12.05,61.57,0,0,0,1.34,1.34,1.34,1.34,41.49,96.37,2.68,0,2.68
3Month,0.96,2.88,0,4.48,0,0,0.32,0.32,1.28,0,20.48,8.32,0.32,1.28,0.32,1.92,5.76,1.28,0.32,0.32,0.32,0,0.64,1.28,0.32,0,0,0,0.64,17.6,0,0.32,0.32,0.32,5.12,2.56
22Month,0,4.37,0.55,8.75,0,0,0,1.09,22.41,1.64,129.56,6.01,1.09,1.09,0,1.09,18.59,4.92,0,3.83,0,0.55,0.55,1.64,1.64,1.09,0.55,0.55,0.55,15.31,0,91.29,0,0,0,3.28
