stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,28.6,12.26,4.09,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,5.35,2.14,2.14,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0
21Day,0,0,16.06,0,0,0,0,0,1.34,0,0,17.4,0,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.96,2.56,18.56,0,0.64,0,0.64,0.96,0,6.4,0.96,1.6,0.32,1.92,0,0.32,0.64,0,0,0.32,0,0.32,0.32,0,0.32
22Month,0,1.64,7.65,0.55,1.64,0.55,0,9.84,1.09,13.67,0,0.55,2.19,4.37,0.55,0,0.55,0,0.55,0,0,0,0,0.55,0
