stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,4.09,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,1.34,1.34,0,5.35,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02
3Month,0,0.64,23.36,1.28,90.55,3.52,0,9.92,1.92,1.6,273.24,1.6,2.24,4.8,7.04,0.64,44.47,1.28,0.32,0,4.16,0,0,2.56,9.6,0,0.32,1.6,5.12
22Month,0.55,8.2,37.72,0,27.33,2.73,1.09,12.57,1.64,2.73,264.03,0,12.57,8.75,5.47,0,9.29,0,0,0,0.55,0.55,0.55,1.64,8.75,1.09,0,0,14.21
