stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0
21Day,8.03,0,0,0,0,0,0,4.02,0,1.34,0,0,1.34,0,0
3Month,6.08,0,0.32,0,0.64,0.64,0.96,12.48,0.32,0,0,0.96,0,0.32,0.64
22Month,1.09,0.55,0,0.55,7.65,0.55,0.55,1.64,0,0,0.55,0,0,0,1.09
