stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,28.6,0,0,0,0,0,0,0,0,0,4.09,0,16.35,8.17,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,62.05,0,0,0,1.07,0,0,0,0,0,0,1.07,0,2.14,0,5.35,0,22.47,3.21,0,0,2.14,0,1.07,3.21,0,0,0,0
21Day,10.71,0,2.68,1.34,0,0,1.34,1.34,0,0,0,2.68,2.68,5.35,0,0,0,16.06,1.34,0,6.69,0,1.34,1.34,0,1.34,0,0,0
3Month,1.6,1.6,5.12,0,0,0.32,3.2,20.48,6.72,1.92,0.64,1.28,9.92,2.24,0.32,0,7.68,4.48,0,2.24,17.92,0,0,42.23,0.32,0,0.32,26.88,1.6
22Month,0,0,0.55,0.55,0,0,4.92,37.72,1.09,1.09,0,1.64,6.56,1.64,0,1.64,1.09,1.09,0,2.73,53.57,0,0,36.63,0.55,0,0,0.55,0.55
