stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,8.03,0,1.34,0,0,1.34,1.34,0,1.34,0,0
3Month,0.32,0.32,0,0,1.28,0.64,0.32,0.64,0.64,0.32,0,0.64,0,0,0,0.32,0.96
22Month,3.28,0,2.73,0,5.47,0,0,3.28,0,0,1.64,0.55,0,0,0,0,1.09
