stage,Endothelial_cell,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Smooth_muscle_cell,T_cell
3Month,0.96,2.24,0.32,0.32,0.32,1.28,0.32,0.32,0.96,1.92,0.32,0,0.32,0.32,0,0.32,0.96,0.64
22Month,0,1.09,0,0,0.55,4.37,0,0.55,0,0,1.09,0.55,0,0,0.55,0,0.55,0
