stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,106.25,12.26,0,8.17,0,0,0,0,0,0,4.09,0,102.16,0,0,0,0,4.09,4.09,147.11,44.95,0,0,0,8.17,49.04,220.67,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,99.49,4.28,0,5.35,0,5.35,0,0,0,0,0,0,0,0,0,0,1.07,3.21,48.14,20.33,11.77,0,1.07,1.07,6.42,51.35,17.12,0,0,14.98,0,1.07,8.56,2.14,1.07,2.14,0,0,0
21Day,73.62,1.34,1.34,22.76,0,4.02,0,2.68,0,0,12.05,1.34,0,10.71,1.34,22.76,13.39,0,21.42,56.22,49.53,0,0,4.02,0,82.99,17.4,4.02,10.71,20.08,5.35,1.34,17.4,17.4,56.22,4.02,0,0,0
3Month,0.32,4.16,0.64,11.2,0.32,0,0,0.32,0.32,1.28,7.68,0,0,50.55,3.84,0,12.8,2.88,12.48,33.91,4.48,0.96,0,0.32,4.16,5.12,0,1.6,0.96,0.96,0.96,7.36,0.64,0,0,0.32,1.28,3.52,2.24
22Month,12.03,4.92,0.55,7.65,0.55,0,1.09,0,1.09,0.55,54.12,1.09,0,91.29,6.56,1.09,6.56,2.19,2.19,118.08,6.01,0,4.37,1.09,0,9.84,1.09,3.28,1.64,0,0,6.56,3.28,1.64,0,0,0.55,0,0.55
