stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,28.6,8.17,0,0,0,0,0,0,0,0,0,0,8.17,36.78,32.69,0,0,0,0,232.93,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,5.35,1.07,1.07,0,0,1.07,0,0,0,0,0,3.21,12.84,4.28,13.91,0,1.07,0,28.88,27.81,0,13.91,0,0,4.28,0,1.07,0,0,0
21Day,8.03,0,0,17.4,0,5.35,0,0,1.34,0,0,0,4.02,0,0,8.03,1.34,16.06,0,0,0,16.06,10.71,0,6.69,2.68,0,2.68,1.34,0,0,0,2.68
3Month,0.32,1.6,0.64,17.92,0,0,0.32,0.32,8,0,4.8,1.28,0.32,8,2.56,7.04,7.68,8,1.28,1.28,1.28,0,0.32,0.64,0,0,5.76,0,0,0,0.96,0.32,1.28
22Month,0,0,0.55,5.47,0,0,0,0,14.76,8.2,10.39,0,0,4.37,0,1.64,7.65,4.37,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,1.09
