stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,34.23,0,0,19.26,18.19,0,0,0,0,0,1.07,0,0,0,0,1.07,0,41.72,0,0,0,9.63,6.42,0,43.86,1.07,0,1.07,0,0,0,0
21Day,32.12,0,0,10.71,0,5.35,1.34,0,0,0,0,0,0,18.74,0,4.02,1.34,72.28,2.68,12.05,0,5.35,4.02,0,34.8,2.68,0,0,0,4.02,0,6.69
3Month,1.28,1.28,0,11.52,0.96,0,0,0.32,0.64,0,0,2.56,0.64,0.32,0.96,5.76,0.96,18.56,0.32,0.64,0.32,0,0,1.28,0.32,0,4.16,0.32,0.32,3.2,0.32,3.52
22Month,0,0.55,0.55,2.73,0,0,0,0,1.09,140.49,0,12.03,0,0,4.37,0,0,26.79,0.55,1.64,0,0.55,0,1.64,0,0.55,2.19,0.55,0,7.65,0,1.64
