stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,1.6,0,0,1.28,0,0.96,0.32,0,0.32,0,0
22Month,1.64,0.55,0,0.55,6.01,0.55,1.64,0,0.55,0.55,0,0.55
