stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,28.6,0,0,0,0,12.26,159.37,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,5.35,8.56,0,0,9.63,2.14,0,0,0,0,0,0,0,0,0,0,3.21,5.35,46,0,0,0,0,40.65,24.61,1.07,0,86.65,0,0,7.49,22.47,29.95,4.28,0,0,0
21Day,5.35,16.06,0,1.34,1.34,2.68,0,0,0,0,0,0,0,0,1.34,1.34,5.35,1.34,44.17,0,0,0,0,41.49,6.69,1.34,0,9.37,0,5.35,0,37.48,62.91,2.68,0,0,1.34
3Month,4.8,70.07,0.32,6.4,2.88,0,0.64,0.32,0.64,4.16,0.32,0,8.96,2.88,1.6,1.6,2.56,2.56,36.79,8,0,2.88,2.88,6.72,0.64,8.32,0.64,64.31,0.96,93.11,6.4,3.84,0.32,4.8,0.32,3.84,1.92
22Month,6.56,149.78,0.55,12.03,9.29,0,0.55,0,0.55,7.65,3.28,0,47.01,3.83,4.37,0.55,1.09,8.75,48.65,3.83,1.09,4.92,0,3.28,1.09,17.49,2.19,62.87,1.09,72.71,39.36,60.13,0.55,0,1.09,0,3.83
