stage,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Neurosecretory_cell,T_cell
21Day,0,0,0,1.34,0,0
3Month,0,0.32,0,0.64,0.32,0.32
22Month,1.09,0,1.09,0,0,0
