stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,2.68,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,1.34,1.34,0,0,0,0,0
3Month,1.28,3.52,0.32,1.28,1.28,34.23,1.28,16.96,1.6,1.28,0.96,0.32,0,0.32,2.88,0.32,0.32,0,0.32,1.6,0.96,0.96
22Month,0.55,0,0,0.55,2.19,20.77,1.09,9.84,0,1.09,2.73,0,1.09,0,0,0.55,0,1.09,0,0,0.55,0
