stage,Hepatocyte,Immune_cell,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neurosecretory_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,1.07,0,0,0
21Day,0,0,2.68,2.68,0,0,0,0
3Month,0.96,1.28,0,0,0,0.32,0.32,3.84
