stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,1.07,0,0,1.07,0,0
21Day,0,1.34,0,0,0,0,1.34,0,4.02,1.34,0
3Month,0.32,0.96,0,0.32,0,0.32,0,0.32,7.36,0,0.64
22Month,0,0,0.55,0.55,0.55,0,0,0,0,0,0
