stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,T_cell
24hpf,4.09,8.17,0,4.09,0,0,0,0,0,0,0,12.26,4.09,12.26,0,4.09,32.69,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,7.49,0,2.14,0,1.07,1.07,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0
22Month,0.55,1.09,0.55,1.09,0.55,6.01,3.28,13.67,0.55,0.55,2.19,0,1.64,1.64,2.19,0,0,0,302.85,0,1.09
